Period,X1,X2,X3,X4,X5,CR,CLTL,NIS,TETA,ROA,ROE,Indication
2016,0.204148178,0.005166719,0.022408192,0.03253527,0.028253856,36.29736392,0.006275702,0.165847115,0.078403343,0.004685821,0.059765572,Healthy
2017,0.229250794,0.004794291,0.020814284,0.041784808,0.02856912,51.78106607,0.004873049,0.147012378,0.073579241,0.004200014,0.05708151,Healthy
2018,0.182756799,0.005894307,0.021528661,0.030472819,0.031569833,40.17196675,0.005020516,0.13124458,0.070713057,0.004143369,0.058594122,Healthy
2019,0.242185803,0.007668548,0.040317101,0.0626114,0.066549117,38.04353532,0.007114678,0.145893497,0.081072953,0.009709083,0.119757367,Healthy
2015,0.094143967,0.026793741,0.07917387,0.815900774,0.399559682,1.189621126,0.648821914,0.019093593,0.234790659,0.00762903,0.032492902,Insolvent
2016,0.005293829,0.013815871,0.112671328,0.594425512,0.60601822,1.008578232,0.758966688,0.018009328,0.186889819,0.010913981,0.058397942,Insolvent
2017,-0.013291919,-0.021371912,0.052482812,0.345747197,0.465391378,0.98167275,0.817534267,-0.064600902,0.112875795,-0.030064703,-0.266352081,Insolvent
2018,-0.029277006,-0.060064602,0.037879515,0.192279524,0.420278815,0.961825653,0.80692026,-0.089720676,0.049560606,-0.037707699,-0.760840153,Insolvent
2019,-0.137405042,-0.087910303,0.042572541,0.109702563,0.389002838,0.84619059,0.898720711,-0.093744441,0.005980257,-0.036466854,-6.097873817,Insolvent
2015,0.074894327,0.1660891,0.08160217,1.614785127,0.653244351,1.191052978,0.885320266,0.089666149,0.557213158,0.058573906,0.105119387,Healthy
2016,0.005826383,0.186061934,0.090702302,1.68678052,0.579617697,1.013764405,0.904519771,0.127225454,0.532024091,0.073742125,0.13860674,Healthy
2017,-0.076143578,0.223477953,0.071287963,1.741525299,0.469879473,0.839875761,0.932162373,0.137247905,0.489865575,0.064489973,0.131648306,Healthy
2018,-0.067718698,0.237007987,0.056599495,2.361858954,0.48162445,0.852511068,0.911283544,0.078091128,0.496156521,0.037610596,0.075803894,Healthy
2019,0.066793056,0.239789131,0.077572794,1.450542096,0.53143318,1.203226703,0.630885226,0.080545438,0.479045027,0.042804518,0.089353851,Healthy
2015,0.310288264,0.469166134,0.194117875,8.095200679,1.073004338,1.960913716,0.790255105,0.133712043,0.59138562,0.143473602,0.242605835,Secure
2016,0.27582422,0.431595719,0.203704233,6.787744755,1.040433697,1.730576113,0.836782543,0.142245633,0.548815347,0.14799715,0.269666566,Secure
2017,0.224768138,0.401508551,0.132351541,5.958002444,1.122674202,1.590219799,0.824830879,0.081942714,0.538304053,0.091994971,0.170897786,Secure
2018,0.16242911,0.402430897,0.136243943,4.764565194,1.290446164,1.431817622,0.818855125,0.072615661,0.540636555,0.093706601,0.173326424,Secure
2019,-0.058252067,0.263259089,0.02610389,1.364883593,1.100576681,0.867117776,0.699069523,-0.015572421,0.372918362,-0.017138643,-0.045958163,Healthy
2015,0.189232094,0.117090398,0.145266672,13.87255178,0.529979846,1.994318203,0.621855213,0.208747631,0.693958638,0.110632038,0.159421659,Secure
2016,0.238409959,0.166273594,0.143898032,16.9792839,0.511395006,2.5454289,0.577205306,0.20752289,0.732733178,0.10612617,0.144836037,Secure
2017,0.275711409,0.145346149,0.064835657,15.32687731,0.502032537,2.992856019,0.565009852,0.074432133,0.75513721,0.037367353,0.049484189,Secure
2018,0.006377735,0.136353081,0.086198385,4.465788742,0.618543095,1.02457629,0.6169546,0.067020416,0.579373205,0.041455016,0.07155149,Healthy
2019,0.006368895,0.157569083,0.109277525,3.628786362,0.662589605,1.023675248,0.675326723,0.097392251,0.601658421,0.064531093,0.107255365,Healthy
